"";"ID";"Name_submitted";"Overall_score";"Name_matched_id";"Name_matched";"Name_score";"Name_matched_rank";"Author_submitted";"Author_matched";"Author_score";"Canonical_author";"Name_matched_accepted_family";"Genus_submitted";"Genus_matched";"Genus_score";"Specific_epithet_submitted";"Specific_epithet_matched";"Specific_epithet_score";"Family_submitted";"Family_matched";"Family_score";"Infraspecific_rank";"Infraspecific_epithet_matched";"Infraspecific_epithet_score";"Infraspecific_rank_2";"Infraspecific_epithet_2_matched";"Infraspecific_epithet_2_score";"Annotations";"Unmatched_terms";"Name_matched_url";"Name_matched_lsid";"Phonetic";"Taxonomic_status";"Accepted_name";"Accepted_species";"Accepted_name_author";"Accepted_name_id";"Accepted_name_rank";"Accepted_name_url";"Accepted_name_lsid";"Accepted_family";"Overall_score_order";"Highertaxa_score_order";"Source";"Warnings";"WarningsEng"
"1";"1";"Achillea_millefolium";0,9;"42210";"Achillea millefolium";1;"species";"";"";NA;"L.";"Asteraceae";"Achillea";"Achillea";1;"millefolium";"millefolium";1;"";"";NA;"";"";NA;"";"";NA;"";"_";"https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:2294-2";"";"Y";"Accepted";"Achillea millefolium";"Achillea millefolium";"L.";"42210";"species";"https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:2294-2";"";"Asteraceae";"1";"1";"wcvp";"0";""
"2";"2";"Adonis_vernalis";0,9;"514846";"Adonis vernalis";1;"species";"";"";NA;"L.";"Ranunculaceae";"Adonis";"Adonis";1;"vernalis";"vernalis";1;"";"";NA;"";"";NA;"";"";NA;"";"_";"https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:305359-2";"";"Y";"Accepted";"Adonis vernalis";"Adonis vernalis";"L.";"514846";"species";"https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:305359-2";"";"Ranunculaceae";"1";"1";"wcvp";"0";""
"3";"3";"Agrostis_capillaris";0,9;"833484";"Agrostis capillaris";1;"species";"";"";NA;"L.";"Poaceae";"Agrostis";"Agrostis";1;"capillaris";"capillaris";1;"";"";NA;"";"";NA;"";"";NA;"";"_";"https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:30197865-2";"";"Y";"Accepted";"Agrostis capillaris";"Agrostis capillaris";"L.";"833484";"species";"https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:30197865-2";"";"Poaceae";"1";"1";"wcvp";"0";""
"4";"4";"Allium_carinatum";0,9;"747936";"Allium carinatum";1;"species";"";"";NA;"L.";"Amaryllidaceae";"Allium";"Allium";1;"carinatum";"carinatum";1;"";"";NA;"";"";NA;"";"";NA;"";"_";"https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:527777-1";"";"Y";"Accepted";"Allium carinatum";"Allium carinatum";"L.";"747936";"species";"https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:527777-1";"";"Amaryllidaceae";"1";"1";"wcvp";"0";""
"5";"5";"Anthericum_ramosum";0,9;"752647";"Anthericum ramosum";1;"species";"";"";NA;"L.";"Asparagaceae";"Anthericum";"Anthericum";1;"ramosum";"ramosum";1;"";"";NA;"";"";NA;"";"";NA;"";"_";"https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:530637-1";"";"Y";"Accepted";"Anthericum ramosum";"Anthericum ramosum";"L.";"752647";"species";"https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:530637-1";"";"Asparagaceae";"1";"1";"wcvp";"0";""
"6";"6";"Anthoxanthum_odoratum";0,9;"839912";"Anthoxanthum odoratum";1;"species";"";"";NA;"L.";"Poaceae";"Anthoxanthum";"Anthoxanthum";1;"odoratum";"odoratum";1;"";"";NA;"";"";NA;"";"";NA;"";"_";"https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:389034-1";"";"Y";"Accepted";"Anthoxanthum odoratum";"Anthoxanthum odoratum";"L.";"839912";"species";"https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:389034-1";"";"Poaceae";"1";"1";"wcvp";"0";""
"7";"7";"Anthyllis_vulneraria";0,9;"207482";"Anthyllis vulneraria";1;"species";"";"";NA;"L.";"Fabaceae";"Anthyllis";"Anthyllis";1;"vulneraria";"vulneraria";1;"";"";NA;"";"";NA;"";"";NA;"";"_";"https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:474795-1";"";"Y";"Accepted";"Anthyllis vulneraria";"Anthyllis vulneraria";"L.";"207482";"species";"https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:474795-1";"";"Fabaceae";"1";"1";"wcvp";"0";""
"8";"8";"Arabis_hirsuta";0,9;"535716";"Arabis hirsuta";1;"species";"";"";NA;"(L.) Scop.";"Brassicaceae";"Arabis";"Arabis";1;"hirsuta";"hirsuta";1;"";"";NA;"";"";NA;"";"";NA;"";"_";"https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:278269-1";"";"Y";"Accepted";"Arabis hirsuta";"Arabis hirsuta";"(L.) Scop.";"535716";"species";"https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:278269-1";"";"Brassicaceae";"1";"1";"wcvp";"0";""
"9";"9";"Arrhenatherum_elatius";0,9;"841342";"Arrhenatherum elatius";1;"species";"";"";NA;"(L.) P.Beauv. ex J.Presl & C.Presl";"Poaceae";"Arrhenatherum";"Arrhenatherum";1;"elatius";"elatius";1;"";"";NA;"";"";NA;"";"";NA;"";"_";"https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:389923-1";"";"Y";"Accepted";"Arrhenatherum elatius";"Arrhenatherum elatius";"(L.) P.Beauv. ex J.Presl & C.Presl";"841342";"species";"https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:389923-1";"";"Poaceae";"1";"1";"wcvp";"0";""
"10";"10";"Asperula_cynanchica";0,9;"280675";"Asperula cynanchica";1;"species";"";"";NA;"L.";"Rubiaceae";"Asperula";"Asperula";1;"cynanchica";"cynanchica";1;"";"";NA;"";"";NA;"";"";NA;"";"_";"https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:743955-1";"";"Y";"Synonym";"Cynanchica pyrenaica subsp. cynanchica";"Cynanchica pyrenaica";"(L.) P.Caputo & Del Guacchio";"1456370";"subspecies";"https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77215417-1";"";"Rubiaceae";"1";"1";"wcvp";"0";""
"11";"11";"Asperula_tinctoria";0,9;"284563";"Asperula tinctoria";1;"species";"";"";NA;"L.";"Rubiaceae";"Asperula";"Asperula";1;"tinctoria";"tinctoria";1;"";"";NA;"";"";NA;"";"";NA;"";"_";"https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:744208-1";"";"Y";"Accepted";"Asperula tinctoria";"Asperula tinctoria";"L.";"284563";"species";"https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:744208-1";"";"Rubiaceae";"1";"1";"wcvp";"0";""
"12";"12";"Betonica_officinalis";0,9;"324707";"Betonica officinalis";1;"species";"";"";NA;"L.";"Lamiaceae";"Betonica";"Betonica";1;"officinalis";"officinalis";1;"";"";NA;"";"";NA;"";"";NA;"";"_";"https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:445133-1";"";"Y";"Accepted";"Betonica officinalis";"Betonica officinalis";"L.";"324707";"species";"https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:445133-1";"";"Lamiaceae";"1";"1";"wcvp";"0";""
"13";"13";"Biscutella_laevigata";0,9;"559092";"Biscutella laevigata";1;"species";"";"";NA;"L.";"Brassicaceae";"Biscutella";"Biscutella";1;"laevigata";"laevigata";1;"";"";NA;"";"";NA;"";"";NA;"";"_";"https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:279040-1";"";"Y";"Accepted";"Biscutella laevigata";"Biscutella laevigata";"L.";"559092";"species";"https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:279040-1";"";"Brassicaceae";"1";"1";"wcvp";"0";""
"14";"14";"Brachypodium_rupestre";0,9;"846313";"Brachypodium rupestre";1;"species";"";"";NA;"(Host) Roem. & Schult.";"Poaceae";"Brachypodium";"Brachypodium";1;"rupestre";"rupestre";1;"";"";NA;"";"";NA;"";"";NA;"";"_";"https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:393183-1";"";"Y";"Synonym";"Brachypodium pinnatum";"Brachypodium pinnatum";"(L.) P.Beauv.";"846244";"species";"https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:393166-1";"";"Poaceae";"1";"1";"wcvp";"0";""
"15";"15";"Briza_media";0,9;"846484";"Briza media";1;"species";"";"";NA;"L.";"Poaceae";"Briza";"Briza";1;"media";"media";1;"";"";NA;"";"";NA;"";"";NA;"";"_";"https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:393294-1";"";"Y";"Accepted";"Briza media";"Briza media";"L.";"846484";"species";"https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:393294-1";"";"Poaceae";"1";"1";"wcvp";"0";""
"16";"16";"Bromus_erectus";0,9;"847221";"Bromus erectus";1;"species";"";"";NA;"Huds.";"Poaceae";"Bromus";"Bromus";1;"erectus";"erectus";1;"";"";NA;"";"";NA;"";"";NA;"";"_";"https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:30195095-2";"";"Y";"Accepted";"Bromus erectus";"Bromus erectus";"Huds.";"847221";"species";"https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:30195095-2";"";"Poaceae";"1";"1";"wcvp";"0";""
"17";"17";"Buphthalmum_salicifolium";0,9;"81416";"Buphthalmum salicifolium";1;"species";"";"";NA;"L.";"Asteraceae";"Buphthalmum";"Buphthalmum";1;"salicifolium";"salicifolium";1;"";"";NA;"";"";NA;"";"";NA;"";"_";"https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:186459-1";"";"Y";"Accepted";"Buphthalmum salicifolium";"Buphthalmum salicifolium";"L.";"81416";"species";"https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:186459-1";"";"Asteraceae";"1";"1";"wcvp";"0";""
"18";"18";"Campanula_rotundifolia";0,9;"820328";"Campanula rotundifolia";1;"species";"";"";NA;"L.";"Campanulaceae";"Campanula";"Campanula";1;"rotundifolia";"rotundifolia";1;"";"";NA;"";"";NA;"";"";NA;"";"_";"https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:30036649-2";"";"Y";"Accepted";"Campanula rotundifolia";"Campanula rotundifolia";"L.";"820328";"species";"https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:30036649-2";"";"Campanulaceae";"1";"1";"wcvp";"0";""
"19";"19";"Carduus_defloratus";0,9;"132991";"Carduus defloratus";1;"species";"";"";NA;"L.";"Asteraceae";"Carduus";"Carduus";1;"defloratus";"defloratus";1;"";"";NA;"";"";NA;"";"";NA;"";"_";"https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:188581-1";"";"Y";"Accepted";"Carduus defloratus";"Carduus defloratus";"L.";"132991";"species";"https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:188581-1";"";"Asteraceae";"1";"1";"wcvp";"0";""
"20";"20";"Carex_cary_eric";0,47790686999749;"581575";"Carum carvi";0,47790686999749;"species";"";"";NA;"L.";"Apiaceae";"Carex";"Carum";0,6;"cary";"carvi";0,6;"";"";NA;"";"";NA;"";"";NA;"";"__eric";"https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:839677-1";"";"";"Accepted";"Carum carvi";"Carum carvi";"L.";"581575";"species";"https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:839677-1";"";"Apiaceae";"1";"3";"wcvp";"5";"[Partial] [HigherTaxa]"
"21";"21";"Carex_caryophyllea";0,9;"340254";"Carex caryophyllea";1;"species";"";"";NA;"Latourr.";"Cyperaceae";"Carex";"Carex";1;"caryophyllea";"caryophyllea";1;"";"";NA;"";"";NA;"";"";NA;"";"_";"https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:324492-2";"";"Y";"Accepted";"Carex caryophyllea";"Carex caryophyllea";"Latourr.";"340254";"species";"https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:324492-2";"";"Cyperaceae";"1";"1";"wcvp";"0";""
"22";"22";"Carex_ericetorum";0,9;"341330";"Carex ericetorum";1;"species";"";"";NA;"Pollich";"Cyperaceae";"Carex";"Carex";1;"ericetorum";"ericetorum";1;"";"";NA;"";"";NA;"";"";NA;"";"_";"https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:299646-1";"";"Y";"Accepted";"Carex ericetorum";"Carex ericetorum";"Pollich";"341330";"species";"https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:299646-1";"";"Cyperaceae";"1";"1";"wcvp";"0";""
"23";"23";"Carex_humilis";0,9;"342477";"Carex humilis";1;"species";"";"";NA;"Leyss.";"Cyperaceae";"Carex";"Carex";1;"humilis";"humilis";1;"";"";NA;"";"";NA;"";"";NA;"";"_";"https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:300229-1";"";"Y";"Accepted";"Carex humilis";"Carex humilis";"Leyss.";"342477";"species";"https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:300229-1";"";"Cyperaceae";"1";"1";"wcvp";"0";""
"24";"24";"Carex_montana";0,9;"343870";"Carex montana";1;"species";"";"";NA;"L.";"Cyperaceae";"Carex";"Carex";1;"montana";"montana";1;"";"";NA;"";"";NA;"";"";NA;"";"_";"https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:301056-1";"";"Y";"Accepted";"Carex montana";"Carex montana";"L.";"343870";"species";"https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:301056-1";"";"Cyperaceae";"1";"1";"wcvp";"0";""
