ID,Name_submitted,Overall_score,Name_matched_id,Name_matched,Name_score,Name_matched_rank,Author_submitted,Author_matched,Author_score,Canonical_author,Name_matched_accepted_family,Genus_submitted,Genus_matched,Genus_score,Specific_epithet_submitted,Specific_epithet_matched,Specific_epithet_score,Family_submitted,Family_matched,Family_score,Infraspecific_rank,Infraspecific_epithet_matched,Infraspecific_epithet_score,Infraspecific_rank_2,Infraspecific_epithet_2_matched,Infraspecific_epithet_2_score,Annotations,Unmatched_terms,Name_matched_url,Name_matched_lsid,Phonetic,Taxonomic_status,Accepted_name,Accepted_species,Accepted_name_author,Accepted_name_id,Accepted_name_rank,Accepted_name_url,Accepted_name_lsid,Accepted_family,Overall_score_order,Highertaxa_score_order,Source,Warnings,WarningsEng
1,Abies alba Mill.,1,504592,Abies alba,1,species,Mill.,Mill.,1,Mill.,Pinaceae,Abies,Abies,1,alba,alba,1,,,NA,,,NA,,,NA,,,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:60468511-2,,Y,Accepted,Abies alba,Abies alba,Mill.,504592,species,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:60468511-2,,Pinaceae,1,1,wcvp,0,
2,Abutilon theophrasti Medik.,1,505938,Abutilon theophrasti,1,species,Medik.,Medik.,1,Medik.,Malvaceae,Abutilon,Abutilon,1,theophrasti,theophrasti,1,,,NA,,,NA,,,NA,,,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:1044174-2,,Y,Accepted,Abutilon theophrasti,Abutilon theophrasti,Medik.,505938,species,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:1044174-2,,Malvaceae,1,1,wcvp,0,
3,Acer campestre L.,1,507642,Acer campestre,1,species,L.,L.,1,L.,Sapindaceae,Acer,Acer,1,campestre,campestre,1,,,NA,,,NA,,,NA,,,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:781250-1,,Y,Accepted,Acer campestre,Acer campestre,L.,507642,species,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:781250-1,,Sapindaceae,1,1,wcvp,0,
4,Acer monspessulanum L.,1,508191,Acer monspessulanum,1,species,L.,L.,1,L.,Sapindaceae,Acer,Acer,1,monspessulanum,monspessulanum,1,,,NA,,,NA,,,NA,,,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:781402-1,,Y,Accepted,Acer monspessulanum,Acer monspessulanum,L.,508191,species,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:781402-1,,Sapindaceae,1,1,wcvp,0,
5,Acer monspessulanum subsp. monspessulanum,1,1693048,Acer monspessulanum subsp. monspessulanum,1,subspecies,,,NA,,Sapindaceae,Acer,Acer,1,monspessulanum,monspessulanum,1,,,NA,subsp.,monspessulanum,1,,,NA,,,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77227880-1,,Y,Accepted,Acer monspessulanum subsp. monspessulanum,Acer monspessulanum,,1693048,subspecies,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77227880-1,,Sapindaceae,1,1,wcvp,0,
6,Acer negundo L.,1,508241,Acer negundo,1,species,L.,L.,1,L.,Sapindaceae,Acer,Acer,1,negundo,negundo,1,,,NA,,,NA,,,NA,,,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:781412-1,,Y,Accepted,Acer negundo,Acer negundo,L.,508241,species,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:781412-1,,Sapindaceae,1,1,wcvp,0,
7,Acer opalus Mill.,1,508330,Acer opalus,1,species,Mill.,Mill.,1,Mill.,Sapindaceae,Acer,Acer,1,opalus,opalus,1,,,NA,,,NA,,,NA,,,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:781424-1,,Y,Accepted,Acer opalus,Acer opalus,Mill.,508330,species,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:781424-1,,Sapindaceae,1,1,wcvp,0,
8,Acer platanoides L.,1,508479,Acer platanoides,1,species,L.,L.,1,L.,Sapindaceae,Acer,Acer,1,platanoides,platanoides,1,,,NA,,,NA,,,NA,,,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:781455-1,,Y,Accepted,Acer platanoides,Acer platanoides,L.,508479,species,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:781455-1,,Sapindaceae,1,1,wcvp,0,
9,Acer pseudoplatanus L.,1,508503,Acer pseudoplatanus,1,species,L.,L.,1,L.,Sapindaceae,Acer,Acer,1,pseudoplatanus,pseudoplatanus,1,,,NA,,,NA,,,NA,,,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:781462-1,,Y,Accepted,Acer pseudoplatanus,Acer pseudoplatanus,L.,508503,species,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:781462-1,,Sapindaceae,1,1,wcvp,0,
10,Achillea atrata L.,1,50163,Achillea atrata,1,species,L.,L.,1,L.,Asteraceae,Achillea,Achillea,1,atrata,atrata,1,,,NA,,,NA,,,NA,,,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:173829-1,,Y,Accepted,Achillea atrata,Achillea atrata,L.,50163,species,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:173829-1,,Asteraceae,1,1,wcvp,0,
