id,plot,location,survey_date,height_vegetation,cover_vegetation,cover_moss,cover_litter,cover_soil,elevation,plot_size,treatment,mowing,grass_cover,richness_total,richness_R1A,richness_R22,richness_both,rlg_VU,rlg_NT,rlg_EN,rlg_CR,rlg,shannon,evenness,CWM_Height,CWM_Seed,CWM_SLA,esy,botanist,comments
X2021tum01,tum01,sued,2021-06-19,20,70,10,40,0.5,469,4,control,NA,18.5,35,16,4,4,8,14,0,0,22,2.703652787,0.760446724,0.268365091,-6.276387254,5.239412249,R,Markus Bauer,NA
X2021tum02,tum02,sued,2021-06-19,25,80,2,40,0.5,469,4,control,NA,32,30,12,1,1,4,16,1,0,21,2.445160634,0.718911713,0.311957169,-6.513844394,5.236730966,R,Markus Bauer,NA
X2021tum03,tum03,sued,2021-06-19,15,70,4,40,0.5,469,4,control,NA,8.5,31,13,3,3,5,13,0,0,18,2.17593746,0.633647515,0.180111314,-6.143717646,5.319728149,R,Markus Bauer,NA
X2021tum04,tum04,sued,2021-06-16,20,70,2,40,2,469,4,control,NA,41,24,8,1,1,3,10,1,0,14,2.005520565,0.631053051,0.370845044,-5.899513676,5.317810696,R1A,Markus Bauer,NA
X2021tum05,tum05,sued,2021-06-16,25,80,0.5,40,0.5,469,4,control,NA,55,22,7,0,0,6,12,0,0,18,2.168816365,0.701645609,0.417357988,-5.876195513,5.329436755,R,Markus Bauer,NA
X2021tum06,tum06,sued,2021-06-16,10,70,4,30,2,469,4,control,NA,17,39,10,1,1,9,17,0,1,27,2.55788653,0.698196667,0.233490675,-6.085017611,5.271458017,R,Markus Bauer,NA
X2021tum07,tum07,sued,2021-06-16,20,70,4,50,2,469,4,control,NA,17,36,12,2,2,8,15,0,0,23,2.438942176,0.680599773,0.24480704,-6.29368589,5.262192325,R,Markus Bauer,NA
X2021tum08,tum08,sued,2021-06-16,15,70,4,40,2,469,4,control,NA,27.5,38,14,3,3,7,18,0,1,26,2.371367174,0.651906806,0.291422554,-6.212902883,5.296962891,R1A,Markus Bauer,NA
X2021tum09,tum09,sued,2021-06-16,15,70,10,30,2,469,4,control,NA,7.5,44,15,3,3,9,15,0,1,25,2.604880282,0.688358812,0.192035112,-6.643336939,5.177172833,R1A,Markus Bauer,NA
X2021tum10,tum10,sued,2021-06-16,10,60,4,50,2,469,4,control,NA,7.5,34,9,2,2,7,16,0,0,23,2.639741258,0.748573845,0.217009073,-5.797699433,5.177791536,R1A,Markus Bauer,NA
X2021tum11,tum11,sued,2021-06-15,25,80,1,20,10,469,4,control,NA,51.5,28,13,4,3,3,10,0,0,13,2.302874335,0.691096338,0.355137923,-6.840819362,5.340929955,R1A,Markus Bauer,NA
X2021tum12,tum12,sued,2021-06-16,20,70,10,30,2,469,4,control,NA,9.5,33,13,2,2,6,13,1,0,20,2.231974707,0.638344024,0.218696792,-6.538641507,5.274972539,R,Markus Bauer,NA
X2021tum13,tum13,sued,2021-06-16,15,70,4,30,4,469,4,control,NA,15.5,41,15,3,3,7,18,0,1,26,2.481742109,0.668289739,0.259238631,-6.18680544,5.298323789,R1A,Markus Bauer,NA
X2021tum14,tum14,sued,2021-06-16,15,70,10,40,2,469,4,control,NA,9.5,34,14,4,4,5,13,0,1,19,2.389042767,0.677481145,0.255602006,-6.037074118,5.250773697,R1A,Markus Bauer,NA
X2021tum15,tum15,sued,2021-06-15,15,70,2,40,0.5,469,4,control,NA,45.5,26,12,3,3,5,11,0,0,16,2.010522797,0.617085091,0.313312629,-6.593099807,5.194879132,R1A,Markus Bauer,NA
