accepted_name,growth_form,plant_height,seed_mass,sla,taxonomic_status,accepted_family,R1A,R22,both,accepted_name_url,status,redlist_germany
Acer pseudoplatanus,tree,21.93333333,0.094659478,166.8,Accepted,Sapindaceae,0,0,0,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:781462-1,I,*
Achillea millefolium,NA,0.65375,1.79E-04,189.35,Accepted,Asteraceae,1,1,1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:2294-2,I,*
Adonis vernalis,forb,0.225,0.0106,153.1,Accepted,Ranunculaceae,0,0,0,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:305359-2,I,3
Agrimonia eupatoria,forb,0.333,0.0142465,184.5,Accepted,Rosaceae,1,0,0,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:316550-2,I,*
Agrostis capillaris,NA,0.43,6.92E-05,345.35,Accepted,Poaceae,1,1,1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:30197865-2,I,*
Allium carinatum,herb,0.225,0.001294,282.6,Accepted,Amaryllidaceae,0,0,0,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:527777-1,I,3
Allium suaveolens,herb,0.225,0.001674,NA,Accepted,Amaryllidaceae,0,0,0,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:528936-1,I,3
Alopecurus pratensis,NA,0.62,8.47E-04,250.36,Accepted,Poaceae,0,1,0,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:387176-1,I,*
Anthericum ramosum,herb,0.288,0.00316,235.1,Accepted,Asparagaceae,0,0,0,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:530637-1,I,V
Anthoxanthum odoratum,NA,0.2325,5.56E-04,297.67,Accepted,Poaceae,1,1,1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:389034-1,I,*
Anthyllis vulneraria,forb,0.275,0.002825859,162.7,Accepted,Fabaceae,1,0,0,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:474795-1,I,*
Arabidopsis thaliana,NA,0.229333333,3.13E-05,329,Accepted,Brassicaceae,0,0,0,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:277970-1,I,*
Arabis hirsuta,forb,0.4615,1.31E-04,281,Accepted,Brassicaceae,0,0,0,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:278269-1,I,*
Arenaria serpyllifolia,NA,0.13875,6.45E-05,231.145,Accepted,Caryophyllaceae,0,0,0,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:303826-2,I,*
Arrhenatherum elatius,NA,1.191666667,0.0025929,282.54,Accepted,Poaceae,1,1,1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:389923-1,I,*
Asperula tinctoria,forb,0.3325,0.002143,205.4,Accepted,Rubiaceae,0,0,0,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:744208-1,I,3
Aster alpinus,forb,0.0775,0.018860425,NA,Accepted,Asteraceae,0,0,0,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:30147822-2,I,*
Aster amellus,herb,0.275,6.70E-04,149.42,Accepted,Asteraceae,0,0,0,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:331070-2,I,3
Betonica officinalis,NA,NA,NA,NA,Accepted,Lamiaceae,0,0,0,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:445133-1,I,V
