ID,Name_submitted,Overall_score,Name_matched_id,Name_matched,Name_score,Name_matched_rank,Author_submitted,Author_matched,Author_score,Canonical_author,Name_matched_accepted_family,Genus_submitted,Genus_matched,Genus_score,Specific_epithet_submitted,Specific_epithet_matched,Specific_epithet_score,Family_submitted,Family_matched,Family_score,Infraspecific_rank,Infraspecific_epithet_matched,Infraspecific_epithet_score,Infraspecific_rank_2,Infraspecific_epithet_2_matched,Infraspecific_epithet_2_score,Annotations,Unmatched_terms,Name_matched_url,Name_matched_lsid,Phonetic,Taxonomic_status,Accepted_name,Accepted_species,Accepted_name_author,Accepted_name_id,Accepted_name_rank,Accepted_name_url,Accepted_name_lsid,Accepted_family,Overall_score_order,Highertaxa_score_order,Source,Warnings,WarningsEng
1,Achillea millefolium aggr.,0.9,42210,Achillea millefolium,1,species,,,NA,L.,Asteraceae,Achillea,Achillea,1,millefolium,millefolium,1,,,NA,,,NA,,,NA,,aggr.,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:2294-2,,Y,Accepted,Achillea millefolium,Achillea millefolium,L.,42210,species,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:2294-2,,Asteraceae,1,1,wcvp,0,
2,Agrimonia eupatoria,1,997280,Agrimonia eupatoria,1,species,,,NA,L.,Rosaceae,Agrimonia,Agrimonia,1,eupatoria,eupatoria,1,,,NA,,,NA,,,NA,,,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:316550-2,,Y,Accepted,Agrimonia eupatoria,Agrimonia eupatoria,L.,997280,species,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:316550-2,,Rosaceae,1,1,wcvp,0,
3,Agrostis capillaris,1,833484,Agrostis capillaris,1,species,,,NA,L.,Poaceae,Agrostis,Agrostis,1,capillaris,capillaris,1,,,NA,,,NA,,,NA,,,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:30197865-2,,Y,Accepted,Agrostis capillaris,Agrostis capillaris,L.,833484,species,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:30197865-2,,Poaceae,1,1,wcvp,0,
4,Agrostis stolonifera,1,836226,Agrostis stolonifera,1,species,,,NA,L.,Poaceae,Agrostis,Agrostis,1,stolonifera,stolonifera,1,,,NA,,,NA,,,NA,,,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:386353-1,,Y,Accepted,Agrostis stolonifera,Agrostis stolonifera,L.,836226,species,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:386353-1,,Poaceae,1,1,wcvp,0,
5,Ajuga reptans,1,926633,Ajuga reptans,1,species,,,NA,L.,Lamiaceae,Ajuga,Ajuga,1,reptans,reptans,1,,,NA,,,NA,,,NA,,,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:444664-1,,Y,Accepted,Ajuga reptans,Ajuga reptans,L.,926633,species,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:444664-1,,Lamiaceae,1,1,wcvp,0,
6,Alopecurus pratensis,1,837393,Alopecurus pratensis,1,species,,,NA,L.,Poaceae,Alopecurus,Alopecurus,1,pratensis,pratensis,1,,,NA,,,NA,,,NA,,,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:387176-1,,Y,Accepted,Alopecurus pratensis,Alopecurus pratensis,L.,837393,species,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:387176-1,,Poaceae,1,1,wcvp,0,
7,Anthoxanthum odoratum aggr.,0.9,839912,Anthoxanthum odoratum,1,species,,,NA,L.,Poaceae,Anthoxanthum,Anthoxanthum,1,odoratum,odoratum,1,,,NA,,,NA,,,NA,,aggr.,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:389034-1,,Y,Accepted,Anthoxanthum odoratum,Anthoxanthum odoratum,L.,839912,species,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:389034-1,,Poaceae,1,1,wcvp,0,
8,Anthriscus sylvestris,1,532151,Anthriscus sylvestris,1,species,,,NA,(L.) Hoffm.,Apiaceae,Anthriscus,Anthriscus,1,sylvestris,sylvestris,1,,,NA,,,NA,,,NA,,,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:837969-1,,Y,Accepted,Anthriscus sylvestris,Anthriscus sylvestris,(L.) Hoffm.,532151,species,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:837969-1,,Apiaceae,1,1,wcvp,0,
9,Anthyllis vulneraria,1,207482,Anthyllis vulneraria,1,species,,,NA,L.,Fabaceae,Anthyllis,Anthyllis,1,vulneraria,vulneraria,1,,,NA,,,NA,,,NA,,,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:474795-1,,Y,Accepted,Anthyllis vulneraria,Anthyllis vulneraria,L.,207482,species,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:474795-1,,Fabaceae,1,1,wcvp,0,
10,Arrhenatherum elatius,1,841342,Arrhenatherum elatius,1,species,,,NA,(L.) P.Beauv. ex J.Presl & C.Presl,Poaceae,Arrhenatherum,Arrhenatherum,1,elatius,elatius,1,,,NA,,,NA,,,NA,,,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:389923-1,,Y,Accepted,Arrhenatherum elatius,Arrhenatherum elatius,(L.) P.Beauv. ex J.Presl & C.Presl,841342,species,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:389923-1,,Poaceae,1,1,wcvp,0,
