"";"accepted_name";"taxonomic_status";"accepted_family";"R1A";"R22";"both"
"1";"Acer pseudoplatanus";"Accepted";"Sapindaceae";0;0;0
"2";"Achillea millefolium";"Accepted";"Asteraceae";1;1;1
"3";"Adonis vernalis";"Accepted";"Ranunculaceae";0;0;0
"4";"Agrimonia eupatoria";"Accepted";"Rosaceae";1;0;0
"5";"Agrostis capillaris";"Accepted";"Poaceae";1;1;1
"6";"Allium carinatum";"Accepted";"Amaryllidaceae";0;0;0
"7";"Allium suaveolens";"Accepted";"Amaryllidaceae";0;0;0
"8";"Alopecurus pratensis";"Accepted";"Poaceae";0;1;0
"9";"Anthericum ramosum";"Accepted";"Asparagaceae";0;0;0
"10";"Anthoxanthum odoratum";"Accepted";"Poaceae";1;1;1
"11";"Anthyllis vulneraria";"Accepted";"Fabaceae";1;0;0
"12";"Arabidopsis thaliana";"Accepted";"Brassicaceae";0;0;0
"13";"Arabis hirsuta";"Accepted";"Brassicaceae";0;0;0
"14";"Arenaria serpyllifolia";"Accepted";"Caryophyllaceae";0;0;0
"15";"Arrhenatherum elatius";"Accepted";"Poaceae";1;1;1
"16";"Asperula tinctoria";"Accepted";"Rubiaceae";0;0;0
"17";"Aster alpinus";"Accepted";"Asteraceae";0;0;0
"18";"Aster amellus";"Accepted";"Asteraceae";0;0;0
"19";"Betonica officinalis";"Accepted";"Lamiaceae";0;0;0
"20";"Betula pendula";"Accepted";"Betulaceae";0;0;0
"21";"Biscutella laevigata";"Accepted";"Brassicaceae";0;0;0
"22";"Brachypodium pinnatum";"Synonym";"Poaceae";1;0;0
"23";"Briza media";"Accepted";"Poaceae";1;1;1
"24";"Bromus erectus";"Accepted";"Poaceae";0;0;0
"25";"Buphthalmum salicifolium";"Accepted";"Asteraceae";0;0;0
"26";"Campanula rapunculoides";"Accepted";"Campanulaceae";0;0;0
"27";"Campanula rotundifolia";"Accepted";"Campanulaceae";1;0;0
"28";"Carduus defloratus";"Accepted";"Asteraceae";0;0;0
"29";"Carex caryophyllea";"Accepted";"Cyperaceae";1;0;0
"30";"Carex ericetorum";"Accepted";"Cyperaceae";0;0;0
"31";"Carex humilis";"Accepted";"Cyperaceae";1;0;0
"32";"Carex montana";"Accepted";"Cyperaceae";0;0;0
"33";"Carex muricata";"Accepted";"Cyperaceae";0;0;0
"34";"Carlina acaulis";"Accepted";"Asteraceae";1;0;0
"35";"Carum carvi";"Accepted";"Apiaceae";0;0;0
"36";"Centaurea jacea";"Accepted";"Asteraceae";1;1;1
"37";"Centaurea montana";"Synonym";"Asteraceae";0;0;0
"38";"Centaurea scabiosa";"Accepted";"Asteraceae";1;0;0
"39";"Centaurea triumfettii";"Accepted";"Asteraceae";0;0;0
"40";"Cerastium arvense";"Accepted";"Caryophyllaceae";0;0;0
"41";"Cerastium fontanum";"Accepted";"Caryophyllaceae";0;0;0
"42";"Chamaecytisus ratisbonensis";"Accepted";"Fabaceae";0;0;0
"43";"Clinopodium vulgare";"Accepted";"Lamiaceae";0;0;0
"44";"Convolvulus arvensis";"Accepted";"Convolvulaceae";0;0;0
"45";"Coronilla vaginalis";"Accepted";"Fabaceae";0;0;0
"46";"Coronilla varia";"Synonym";"Fabaceae";0;0;0
"47";"Crataegus monogyna";"Accepted";"Rosaceae";0;0;0
"48";"Cynanchica pyrenaica subsp. cynanchica";"Synonym";"Rubiaceae";0;0;0
"49";"Cytisus nigricans";"Accepted";"Fabaceae";0;0;0
"50";"Dactylis glomerata";"Accepted";"Poaceae";1;1;1
"51";"Danthonia alpina";"Accepted";"Poaceae";0;0;0
"52";"Danthonia decumbens";"Accepted";"Poaceae";0;0;0
"53";"Daphne cneorum";"Accepted";"Thymelaeaceae";0;0;0
"54";"Daucus carota";"Accepted";"Apiaceae";1;1;1
"55";"Deschampsia cespitosa";"Accepted";"Poaceae";0;1;0
"56";"Dianthus carthusianorum";"Accepted";"Caryophyllaceae";1;0;0
"57";"Epilobium parviflorum";"Accepted";"Onagraceae";0;0;0
"58";"Erica carnea";"Accepted";"Ericaceae";0;0;0
"59";"Erigeron annuus";"Accepted";"Asteraceae";0;0;0
"60";"Euphorbia cyparissias";"Accepted";"Euphorbiaceae";1;0;0
"61";"Euphorbia verrucosa";"Accepted";"Euphorbiaceae";0;0;0
"62";"Euphrasia micrantha";"Synonym";"Orobanchaceae";0;0;0
"63";"Euphrasia officinalis";"Accepted";"Orobanchaceae";0;0;0
"64";"Euphrasia officinalis subsp. pratensis";"Synonym";"Orobanchaceae";0;0;0
"65";"Euphrasia picta";"Synonym";"Orobanchaceae";0;0;0
"66";"Festuca rubra";"Accepted";"Poaceae";1;1;1
"67";"Festuca rupicola";"Accepted";"Poaceae";0;0;0
"68";"Filipendula vulgaris";"Accepted";"Rosaceae";1;0;0
"69";"Fragaria viridis";"Accepted";"Rosaceae";1;0;0
"70";"Fraxinus excelsior";"Accepted";"Oleaceae";0;0;0
"71";"Galium boreale";"Accepted";"Rubiaceae";0;0;0
"72";"Galium mollugo";"Accepted";"Rubiaceae";1;1;1
"73";"Galium pumilum";"Accepted";"Rubiaceae";1;0;0
"74";"Galium pusillum";"Accepted";"Rubiaceae";0;0;0
"75";"Galium verrucosum";"Accepted";"Rubiaceae";0;0;0
"76";"Galium verum";"Accepted";"Rubiaceae";1;1;1
"77";"Genista tinctoria";"Accepted";"Fabaceae";0;0;0
"78";"Gentiana clusii";"Accepted";"Gentianaceae";0;0;0
"79";"Gentiana verna";"Accepted";"Gentianaceae";0;0;0
"80";"Globularia bisnagarica";"Accepted";"Plantaginaceae";0;0;0
"81";"Globularia cordifolia";"Accepted";"Plantaginaceae";0;0;0
