id;plot;longitude;latitude
X2021tum01;tum01;696913,9;5351623,19
X2021tum02;tum02;696971,73;5351640,19
X2021tum03;tum03;696916,79;5351648,59
X2021tum04;tum04;696864,11;5351687,07
X2021tum05;tum05;696960,7;5351696,42
X2021tum06;tum06;696789,28;5351699,2
X2021tum07;tum07;696812,89;5351705,32
X2021tum08;tum08;696795,9;5351715,89
X2021tum09;tum09;696828,75;5351719,38
X2021tum10;tum10;696843,1;5351727,46
X2021tum11;tum11;696873,28;5351748,55
X2021tum12;tum12;696708,93;5351757,05
X2021tum13;tum13;696775,42;5351762,2
X2021tum14;tum14;696891,76;5351784,3
X2021tum15;tum15;696909,33;5351786,18
X2021tum16;tum16;696598,27;5351786,29
X2021tum17;tum17;696799,28;5351786,21
X2021tum18;tum18;696628,89;5351796,55
X2021tum19;tum19;696871,7;5351800,83
X2021tum20;tum20;696733,72;5351806,48
X2021tum21;tum21;696806,58;5351846,94
X2021tum22;tum22;696694,51;5351848,67
X2021tum23;tum23;696829,28;5351857,59
X2021tum24;tum24;696738,62;5351855,18
X2021tum25;tum25;696756,83;5351878,84
X2021tum26;tum26;696786,02;5351893,76
X2021tum27;tum27;696679,83;5351897,69
X2021tum28;tum28;696617,87;5351916,85
X2021tum29;tum29;696802,25;5351950,88
X2021tum30;tum30;696709,88;5351968,74
X2021tum31;tum31;696823,37;5351978,26
X2021tum32;tum32;696777,52;5352002,97
X2021tum33;tum33;696771,96;5352033,25
X2021tum34;tum34;696665,45;5352032,95
X2021tum35;tum35;696688,25;5352055,84
X2021tum36;tum36;696697,42;5352065,85
X2021tum37;tum37;696772,79;5352078,2
X2021tum38;tum38;696709,14;5352092,23
X2021tum39;tum39;696763,53;5352102,58
X2021tum40;tum40;696746,31;5352103,97
X2021tum41;tum41;696716,72;5352107,47
X2021tum42;tum42;696787,15;5352128,26
X2021tum43;tum43;696774,72;5352131,92
X2021tum44;tum44;696882,63;5352139,54
X2021tum45;tum45;696762,01;5352143,02
X2021tum46;tum46;696757,07;5352178,64
X2021tum47;tum47;696796,13;5352166,03
X2021tum48;tum48;696798,57;5352180,37
X2021tum49;tum49;696864,13;5352179,75
X2021tum50;tum50;696775,63;5352201,55
X2021tum51;tum51;696793,08;5352203,41
X2021tum52;tum52;696767,67;5352203,65
X2021tum53;tum53;696772,14;5352231,46
X2021tum54;tum54;696866,39;5352238,65
X2021tum55;tum55;696926,23;5352240,83
X2021tum56;tum56;696915,89;5352286,22
X2021tum57;tum57;696778,92;5352268,07
X2021tum58;tum58;696810,87;5352318,95
X2021tum59;tum59;696819,65;5352367,9
X2021tum60;tum60;696923,53;5352365,33
X2021tum61;tum61;696909,65;5352399,37
X2021tum62;tum62;696813,95;5352492,63
X2021tum63;tum63;696792,85;5352530,9
X2021tum64;tum64;696743,51;5352546,47
X2021tum65;tum65;696727,62;5352554,14
X2021tum66;tum66;696697,35;5352565,58
X2021tum67;tum67;696720,2;5352618,96
X2021tum68;tum68;696705,714;5352103,255
