plot,latitude,longitutde
res29,4828895,1164883
res04,4828895,1164883
res10,4828895,1164883
res12,4828895,1164883
res18,4828895,1164883
res15,4828895,1164883
res17,4828895,1164883
res16,4828895,1164883
res02,4828895,1164883
res01,4828895,1164883
res03,4828895,1164883
res20,4828895,1164883
res21,4828895,1164883
res19,4828895,1164883
res13,4828895,1164883
res14,4828895,1164883
res30,4828895,1164883
res11,4828895,1164883
res06,4828895,1164883
res05,4828895,1164883
res09,4828895,1164883
res08,4828895,1164883
res38,4828895,1164883
res31,4828895,1164883
res32,4828895,1164883
res07,4828895,1164883
res36,4828895,1164883
res34,4828895,1164883
res39,4828895,1164883
res37,4828895,1164883
res33,4828895,1164883
res35,4828895,1164883
res22,4828895,1164883
res23,4828895,1164883
res24,4828895,1164883
res25,4828895,1164883
res26,4828895,1164883
res27,4828895,1164883
res28,4828895,1164883
res84,4828895,1164883
res85,4828895,1164883
res86,4828895,1164883
res87,4828895,1164883
res88,4828895,1164883
res89,4828895,1164883
res90,4828895,1164883
res65,4828895,1164883
res83,4828895,1164883
res81,4828895,1164883
res67,4828895,1164883
res76,4828895,1164883
res82,4828895,1164883
res79,4828895,1164883
res75,4828895,1164883
res70,4828895,1164883
res66,4828895,1164883
res80,4828895,1164883
res69,4828895,1164883
res78,4828895,1164883
res72,4828895,1164883
res46,4828895,1164883
res53,4828895,1164883
res50,4828895,1164883
res41,4828895,1164883
res45,4828895,1164883
res44,4828895,1164883
res43,4828895,1164883
res40,4828895,1164883
res42,4828895,1164883
res47,4828895,1164883
res48,4828895,1164883
res49,4828895,1164883
res52,4828895,1164883
res51,4828895,1164883
res77,4828895,1164883
res71,4828895,1164883
res68,4828895,1164883
res74,4828895,1164883
res73,4828895,1164883
res60,4828895,1164883
res54,4828895,1164883
res55,4828895,1164883
res56,4828895,1164883
res58,4828895,1164883
res59,4828895,1164883
res57,4828895,1164883
res63,4828895,1164883
res61,4828895,1164883
res62,4828895,1164883
res64,4828895,1164883
