attributeName,attributeDefinition,formatString,definition,unit,numberType,type,factor,comment
plot,plot ID independent of the survey year,NA,plot ID independent of year,NA,NA,character,NA,NA
botaniker_2021,botanist in year 2021,NA,person responsible in 2021,NA,NA,character,NA,NA
aufnahmedatum_2021,survey year in 2021,YYYY-mm-dd,NA,NA,NA,date,NA,NA
vegetationshoehe_2021,Average vegetation height measured in the field in year 2021 in 5-cm steps,NA,NA,centimeter,integer,numeric,NA,NA
streuhoehe_2021,Average litter height measured in the field in 2021 in 1-cm steps,NA,NA,centimeter,integer,numeric,NA,NA
vegetationsdeckung_2021,Cover of herbs estimated with Londo scale (Londo 1976) in the year 2021,NA,NA,percent,integer,numeric,NA,Londo G (1976) The decimal scale for releves of permanent quadrats. Vegetatio 33: 61�64. http://dx.doi.org/10.1007/BF00055300
moosdeckung_2021,Cover of mosses estimated with Londo scale (Londo 1976) in the year 2021,NA,NA,percent,integer,numeric,NA,Londo G (1976) The decimal scale for releves of permanent quadrats. Vegetatio 33: 61�64. http://dx.doi.org/10.1007/BF00055300
flechtendeckung_2021,Cover of lichens estimated with Londo scale (Londo 1976) in the year 2021,NA,NA,percent,integer,numeric,NA,Londo G (1976) The decimal scale for releves of permanent quadrats. Vegetatio 33: 61�64. http://dx.doi.org/10.1007/BF00055300
streudeckung_2021,Cover of litter estimated with Londo scale (Londo 1976) in the year 2021,NA,NA,percent,integer,numeric,NA,Londo G (1976) The decimal scale for releves of permanent quadrats. Vegetatio 33: 61�64. http://dx.doi.org/10.1007/BF00055300
rohbodendeckung_2021,Cover of raw soil estimated with Londo scale (Londo 1976) in the year 2021,NA,NA,percent,integer,numeric,NA,Londo G (1976) The decimal scale for releves of permanent quadrats. Vegetatio 33: 61�64. http://dx.doi.org/10.1007/BF00055300
