name;X2021tum01;X2021tum02;X2021tum03;X2021tum04;X2021tum05;X2021tum06;X2021tum07;X2021tum08;X2021tum09;X2021tum10;X2021tum11;X2021tum12;X2021tum13;X2021tum14;X2021tum15;X2021tum16;X2021tum17;X2021tum18;X2021tum19;X2021tum20;X2021tum21;X2021tum22;X2021tum23;X2021tum24;X2021tum25;X2021tum26;X2021tum27;X2021tum28;X2021tum29;X2021tum30;X2021tum31;X2021tum32;X2021tum33;X2021tum34;X2021tum35;X2021tum36;X2021tum37;X2021tum38;X2021tum39;X2021tum40;X2021tum41;X2021tum42;X2021tum43;X2021tum44;X2021tum45;X2021tum46;X2021tum47;X2021tum48;X2021tum49;X2021tum50;X2021tum51;X2021tum52;X2021tum53;X2021tum54;X2021tum55;X2021tum56;X2021tum57;X2021tum58;X2021tum59;X2021tum60;X2021tum61;X2021tum62;X2021tum63;X2021tum64;X2021tum65;X2021tum66;X2021tum67;X2021tum68;X2026tum01;X2026tum02;X2026tum03;X2026tum04;X2026tum05;X2026tum06;X2026tum07;X2026tum08;X2026tum09;X2026tum10;X2026tum11;X2026tum12;X2026tum13;X2026tum14;X2026tum15;X2026tum16;X2026tum17;X2026tum18;X2026tum19;X2026tum20;X2026tum21;X2026tum22;X2026tum23;X2026tum24;X2026tum25;X2026tum26;X2026tum27;X2026tum28;X2026tum29;X2026tum30;X2026tum31;X2026tum32;X2026tum33;X2026tum34;X2026tum35;X2026tum36;X2026tum37;X2026tum38;X2026tum39;X2026tum40;X2026tum41;X2026tum42;X2026tum43;X2026tum44;X2026tum45;X2026tum46;X2026tum47;X2026tum48;X2026tum49;X2026tum50;X2026tum51;X2026tum52;X2026tum53;X2026tum54;X2026tum55;X2026tum56;X2026tum57;X2026tum58;X2026tum59;X2026tum60;X2026tum61;X2026tum62;X2026tum63;X2026tum64;X2026tum65;X2026tum66;X2026tum67;X2026tum68
Achillea_millefolium;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Adonis_vernalis;2;2;0,5;0,5;0,5;0,5;0,5;0,5;NA;0,5;0,5;2;0,5;0,5;0,5;NA;0,5;NA;0,5;4;4;NA;0,5;NA;NA;NA;0,5;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;NA;NA;0,5;NA;NA;NA;NA;NA;NA;0,5;0,5;2;NA;0,5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Agrimonia_eupatoria;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Agrostis_capillaris;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,5;NA;NA;NA;0,5;NA;NA;0,5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Allium_carinatum;0,1;NA;0,1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Anthericum_ramosum;0,5;0,5;NA;4;NA;0,5;2;0,5;2;0,5;NA;2;10;10;NA;0,5;2;2;2;20;4;NA;2;NA;NA;0,5;10;20;20;10;0,5;20;2;20;0,5;10;2;20;30;10;10;10;2;20;20;10;10;10;2;10;10;10;10;20;4;10;10;4;20;20;20;20;20;20;20;0,5;NA;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Anthoxanthum_odoratum;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Anthyllis_vulneraria;NA;NA;NA;NA;NA;0,5;NA;NA;0,5;0,5;NA;0,5;NA;NA;NA;0,5;0,1;0,1;NA;NA;0,5;0,5;NA;0,5;0,5;0,5;0,5;NA;NA;NA;0,5;0,5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,5;NA;NA;NA;NA;0,5;0,5;NA;2;NA;NA;NA;NA;2;NA;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Arabis_hirsuta;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Arenaria_serpyllifolia;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
